2014-03-20 07:37:54 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:54 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:54 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:54 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:54 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:55 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:55 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:55 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:55 status unpacked imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:55 status half-configured imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:56 status installed imagemagick-common 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:56 configure libmagickcore4 8:6.6.9.7-5ubuntu3.3 <none>
2014-03-20 07:37:56 status unpacked libmagickcore4 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:56 status half-configured libmagickcore4 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:57 status installed libmagickcore4 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:57 configure libmagickwand4 8:6.6.9.7-5ubuntu3.3 <none>
2014-03-20 07:37:57 status unpacked libmagickwand4 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:57 status half-configured libmagickwand4 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:57 status installed libmagickwand4 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:58 configure imagemagick 8:6.6.9.7-5ubuntu3.3 <none>
2014-03-20 07:37:58 status unpacked imagemagick 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:58 status half-configured imagemagick 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:58 status installed imagemagick 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:37:59 configure libcdt4 2.26.3-10ubuntu1.1 <none>
2014-03-20 07:37:59 status unpacked libcdt4 2.26.3-10ubuntu1.1
2014-03-20 07:37:59 status half-configured libcdt4 2.26.3-10ubuntu1.1
2014-03-20 07:37:59 status installed libcdt4 2.26.3-10ubuntu1.1
2014-03-20 07:38:00 configure libdjvulibre-text 3.5.24-9ubuntu0.1 <none>
2014-03-20 07:38:00 status unpacked libdjvulibre-text 3.5.24-9ubuntu0.1
2014-03-20 07:38:00 status half-configured libdjvulibre-text 3.5.24-9ubuntu0.1
2014-03-20 07:38:00 status installed libdjvulibre-text 3.5.24-9ubuntu0.1
2014-03-20 07:38:00 configure libdjvulibre21 3.5.24-9ubuntu0.1 <none>
2014-03-20 07:38:00 status unpacked libdjvulibre21 3.5.24-9ubuntu0.1
2014-03-20 07:38:00 status half-configured libdjvulibre21 3.5.24-9ubuntu0.1
