级别	日期和时间	来源	事件 ID	任务类别
信息	2014/1/16 0:37:41	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2913602 更改为 已安装 状态。
信息	2014/1/16 0:37:40	Microsoft-Windows-Servicing	1	无	启动程序包 KB2913602 的更改。当前状态为 已解析。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2014/1/16 0:37:39	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2913431 更改为 已安装 状态。
信息	2014/1/16 0:37:31	Microsoft-Windows-Servicing	1	无	启动程序包 KB2913431 的更改。当前状态为 已解析。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2014/1/15 15:37:05	Microsoft-Windows-Servicing	3	无	将程序包 KB2913602 更改为 已暂存 状态失败。状态为: 0x800f0816。
信息	2014/1/15 15:37:03	Microsoft-Windows-Servicing	1	无	启动程序包 KB2913602 的更改。当前状态为 不存在。目标状态为 已暂存。客户端 ID: WindowsUpdateAgent。
信息	2014/1/15 15:36:38	Microsoft-Windows-Servicing	3	无	将程序包 KB2913431 更改为 已暂存 状态失败。状态为: 0x800f0816。
信息	2014/1/15 15:36:34	Microsoft-Windows-Servicing	1	无	启动程序包 KB2913431 的更改。当前状态为 不存在。目标状态为 已暂存。客户端 ID: WindowsUpdateAgent。
信息	2014/1/15 13:13:36	Microsoft-Windows-Servicing	2	无	已将程序包 KB2862330 成功更改为 已安装 状态。
信息	2014/1/15 13:08:07	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2862330)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2862330-v2-x86.msu"" /quiet /norestart”)"
警告	2014/1/15 13:08:07	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2862330) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2862330-v2-x86.msu"" /quiet /norestart”)"
信息	2014/1/15 13:08:05	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2862330 更改为 已安装 状态。
信息	2014/1/15 13:07:51	Microsoft-Windows-Servicing	1	无	启动程序包 KB2862330 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 18:25:14	Microsoft-Windows-Servicing	2	无	已将程序包 KB2891804 成功更改为 已安装 状态。
信息	2013/12/11 18:25:11	Microsoft-Windows-Servicing	1	无	启动程序包 KB2891804 的更改。当前状态为 已解析。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 18:25:10	Microsoft-Windows-Servicing	2	无	已将程序包 KB2913152 成功更改为 已安装 状态。
信息	2013/12/11 18:25:08	Microsoft-Windows-Servicing	1	无	启动程序包 KB2913152 的更改。当前状态为 已解析。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 18:25:07	Microsoft-Windows-Servicing	2	无	已将程序包 KB2904266 成功更改为 已安装 状态。
信息	2013/12/11 18:24:52	Microsoft-Windows-Servicing	1	无	启动程序包 KB2904266 的更改。当前状态为 已解析。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 18:24:50	Microsoft-Windows-Servicing	2	无	已将程序包 KB2847077 成功更改为 已安装 状态。
信息	2013/12/11 18:24:20	Microsoft-Windows-Servicing	1	无	启动程序包 KB2847077 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 9:42:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2898785 成功更改为 已安装 状态。
